"sep=;"
URL;SEARCH_NAME;FOUND_NAME;ADDRESS;ZIP;CITY;PHONE;WEBSITE;NAME_MATCH?;ADDRESS_MATCH?;ZIP_MATCH?;CITY_MATCH?;PHONE_MATCH?;VARDCENTRAL;HITTA_OR_ENIRO;COLOR
http://www.hitta.se//carema+v%C3%A5rdcentral+eriksborg/v%C3%A4ster%C3%A5s/Lgl_mUqqko?vad=Carema+V%C3%A5rdcentral+R%C3%A5gsved;Carema Vårdcentral Rågsved;Carema Vårdcentral Eriksborg;Eriksborg;72189;Västerås;021-3601000;http://www.caremavardcentral.se/eriksborg;NO;NO;NO;NO;NO;NO;HITTA;RED
http://www.hitta.se/s%C3%B6k?vad=Bankeryds+v%C3%A5rdcentral%2CSj%C3%B6%C3%A5krav%C3%A4gen+18;Bankeryds vårdcentral;Bankeryds Vårdcentral;Sjöåkravägen 18;56431;Bankeryd;036-323800;http://www.lj.se/vardcentralernabraliv/Vardcentraler/Bankerydsvardcentral;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Bokskogen%2CBiblioteksgatan+22;Vårdcentralen Bokskogen;Vårdcentralen Bokskogen;Biblioteksgatan 22;23361;Bara;040-6239460;http://www.vardcentralenbokskogen.se;EXACT;EXACT;NO;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se//folktandv%C3%A5rden+bengtsfors/bengtsfors/0xTl2XmUU1?vad=Storgatan+7%2C+66630+Bengtsfors;Vårdcentralen Nygård;Folktandvården Bengtsfors;Storgatan 7;66630;Bengtsfors;010-4419380;http://www.vgregion.se/folktandvarden/bengtsfors;NO;EXACT;EXACT;EXACT;NO;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Hamr%C3%A5nge+h%C3%A4lsocentral;Hamrånge hälsocentral;Hamrånge Din hälsocentral;Solbergavägen 2;81740;Bergby;0297-10191,0297-10510;;PARTIAL;NO;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://gulasidorna.eniro.se/f/bergshamra-v%C3%A5rdcentral:10232693;Bergshamra Vårdcentral;Bergshamra vårdcentral;Rosenlundsv 2;76111;Bergshamra;0176-328310;www.tiohundra.se/;EXACT;PARTIAL;NO;EXACT;EXACT;NO;ENIRO;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Bergsj%C3%B6+h%C3%A4lsocentral%2CB%C3%A5llebergsv%C3%A4gen+5;Bergsjö hälsocentral;Bergsjö Din hälsocentral;Bållebergsvägen 5;82070;Bergsjö;0652-36600,026-154000;;PARTIAL;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Linden+Din+h%C3%A4lsocentral;Linden Din hälsocentral;Linden Din hälsocentral;C D Ekmans Väg 37;82023;Bergvik;0270-73399,026-154000;http://www.lg.se/dinhalsocentral;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=S%C3%A4r%C3%B6ledens+Familjel%C3%A4kare%2CKungsporten+5+B;Säröledens Familjeläkare;Säröledens Familjeläkare;Kungsporten 5 B;42750;Billdal;031-672260;http://www.notkarnan.se/saroleden;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Bjurholms+H%C3%A4lsocentral%2CStorgatan+16;Bjurholms Hälsocentral;Bjurholms hälsocentral;Storgatan 16;91631;Bjurholm;090-7854441,0932-10641;http://www.vll.se/default.aspx?id=23261&refid=23478;EXACT;EXACT;EXACT;EXACT;NO;NO;HITTA;YELLOW
http://www.hitta.se//solklart+v%C3%A5rd+i+bjuv+ab/bjuv/0TWss_nnU1?vad=Solklart+v%C3%A5rd;Solklart vård;Solklart Vård i Bjuv AB;Norra Storgatan 6;26731;Bjuv;042-4902600;;PARTIAL;NO;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+S%C3%B6der%C3%A5sen%2CAlmgatan+1;Vårdcentralen Söderåsen;Vårdcentralen Söderåsen;Almgatan 1;26738;Bjuv;042-4060100,1177;http://www.vardcentralensoderasen.se;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=L%C3%A4karmottagning+i+Bj%C3%A4rnum%2CAlgatan+12;Läkarmottagning i Bjärnum;Läkarmottagningen i Bjärnum;Algatan 12;28020;Bjärnum;0451-21405;http://www.lakarmottbjarnum.se;PARTIAL;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=Sundets+L%C3%A4kargrupp%2CVikingav%C3%A4gen+1;Sundets Läkargrupp;Sundets Läkargrupp;Vikingavägen 1;23731;Bjärred;046-297370;http://www.sundetslakargrupp.se;EXACT;EXACT;EXACT;EXACT;EXACT;NO;HITTA;YELLOW
http://www.hitta.se/s%C3%B6k?vad=V%C3%A5rdcentralen+Bj%C3%A4rred%2CVikingav%C3%A4gen+1;Vårdcentralen Bjärred;Sundets Läkargrupp;Vikingavägen 1;23731;Bjärred;046-297370;http://www.sundetslakargrupp.se;NO;EXACT;EXACT;EXACT;NO;NO;HITTA;YELLOW
